,author_surname_initial,Sage Publishing,Staatsdrukkerij,Wiley,Dutch Government,ICEM,REMP
0,"Appleyard, R",1.0,2.0,19.0,0.0,0.0,1.0
1,"Avila, F",0.0,2.0,1.0,0.0,0.0,1.0
2,"Baade, F",0.0,0.0,0.0,0.0,0.0,1.0
3,"Backer, J",0.0,0.0,1.0,0.0,0.0,1.0
4,"Besterman, W",0.0,0.0,2.0,0.0,1.0,0.0
5,"Beyer, G",3.0,12.0,9.0,0.0,0.0,1.0
6,"Borrie, W",0.0,1.0,1.0,0.0,0.0,1.0
7,"Bouman, P",0.0,0.0,0.0,0.0,0.0,1.0
8,"Brink, Van Den, T",0.0,2.0,0.0,0.0,0.0,1.0
9,"Carlin, J",0.0,0.0,2.0,0.0,1.0,0.0
10,"Charry-Samper, H",0.0,0.0,1.0,0.0,1.0,0.0
11,"Clark, C",0.0,0.0,0.0,0.0,0.0,1.0
12,"Daley, M",0.0,0.0,0.0,0.0,1.0,0.0
13,"Edding, F",0.0,4.0,0.0,0.0,0.0,1.0
14,"Epinat, B",0.0,0.0,0.0,0.0,1.0,0.0
15,"Escaler, N",0.0,0.0,0.0,0.0,1.0,0.0
16,"Fougstedt, G",0.0,0.0,0.0,0.0,0.0,1.0
17,"Gadolin, De, A",0.0,2.0,0.0,0.0,0.0,1.0
18,"Gelissen, H",0.0,0.0,0.0,0.0,0.0,1.0
19,"Gibson, H",0.0,0.0,0.0,0.0,1.0,0.0
20,"Gottmann, J",0.0,1.0,0.0,0.0,0.0,1.0
21,"Goudswaard, G",0.0,0.0,0.0,0.0,0.0,1.0
22,"Groenman, S",0.0,2.0,0.0,0.0,0.0,1.0
23,"Grot, J",0.0,0.0,0.0,0.0,0.0,1.0
24,"Haveman, B",0.0,0.0,4.0,1.0,1.0,0.0
25,"Hoffmann, W",0.0,0.0,0.0,0.0,0.0,1.0
26,"Hofstede, B",0.0,1.0,0.0,1.0,0.0,0.0
27,"Hofstee, E",0.0,4.0,0.0,0.0,0.0,1.0
28,"Hofsten, Von, E",0.0,0.0,0.0,0.0,0.0,1.0
29,"Hyrenius, H",0.0,1.0,0.0,0.0,0.0,1.0
30,"Isaac, J",0.0,2.0,0.0,0.0,0.0,1.0
31,"Jacobson, P",0.0,0.0,0.0,0.0,1.0,1.0
32,"Janne, H",0.0,0.0,0.0,0.0,0.0,1.0
33,"Kant, E",0.0,0.0,0.0,0.0,0.0,1.0
34,"Klompe, M",0.0,0.0,0.0,1.0,0.0,0.0
35,"Kulischer, E",0.0,0.0,0.0,0.0,0.0,1.0
36,"Lacroix, M",0.0,0.0,0.0,0.0,0.0,1.0
37,"Livi, L",0.0,0.0,0.0,0.0,0.0,1.0
38,"Macfadden, J",0.0,0.0,0.0,0.0,1.0,0.0
39,"Mackenroth, G",0.0,1.0,0.0,0.0,0.0,1.0
40,"Marshall, M",0.0,0.0,0.0,0.0,0.0,1.0
41,"Maselli, G",0.0,1.0,2.0,0.0,1.0,0.0
42,"Mckinley, B",0.0,0.0,0.0,0.0,1.0,0.0
43,"Mertens De Wilmars, J",0.0,0.0,0.0,0.0,0.0,1.0
44,"Ndioro, N",0.0,0.0,0.0,0.0,1.0,0.0
45,"Neundorffer, L",0.0,0.0,0.0,0.0,0.0,1.0
46,"Nixon, J",0.0,2.0,0.0,0.0,0.0,1.0
47,"Oblath, A",0.0,0.0,0.0,0.0,0.0,1.0
48,"Oldendorff, A",0.0,0.0,0.0,0.0,0.0,1.0
49,"Oudegeest, J",0.0,1.0,0.0,0.0,0.0,1.0
50,"Oudenhove, Van, C",0.0,0.0,0.0,0.0,0.0,1.0
51,"Parenti, G",0.0,0.0,0.0,0.0,0.0,1.0
52,"Purcell, J",0.0,0.0,2.0,0.0,1.0,0.0
53,"Rappard, W",0.0,0.0,0.0,0.0,0.0,1.0
54,"Ritschl, H",0.0,0.0,0.0,0.0,0.0,1.0
55,"Roof, M",0.0,1.0,0.0,0.0,0.0,1.0
56,"Salin, E",0.0,0.0,0.0,0.0,0.0,1.0
57,"Sauvy, A",0.0,1.0,1.0,0.0,0.0,1.0
58,"Schokking, J",0.0,0.0,0.0,0.0,0.0,1.0
59,"Swing, W",0.0,0.0,0.0,0.0,1.0,0.0
60,"Thomas, B",2.0,0.0,2.0,0.0,0.0,1.0
61,"Thomas, J",1.0,0.0,1.0,0.0,1.0,0.0
62,"Thompson, L",1.0,0.0,0.0,0.0,1.0,0.0
63,"Tittman Jr., H",0.0,0.0,0.0,0.0,1.0,0.0
64,"Vampa, D",0.0,0.0,0.0,0.0,0.0,1.0
65,"Vergottini, M",0.0,0.0,0.0,0.0,0.0,1.0
66,"Verwey-Jonker, H",0.0,1.0,0.0,1.0,0.0,0.0
67,"Vito, F",0.0,0.0,0.0,0.0,0.0,1.0
68,"Vitorino, A",0.0,0.0,0.0,0.0,1.0,0.0
69,"Weinberg, A",0.0,2.0,1.0,0.0,0.0,1.0
70,"Winkler, W",0.0,0.0,0.0,0.0,0.0,1.0
71,"Zeegers, G",0.0,2.0,0.0,0.0,0.0,1.0
